CollisionWarning,CollisionAvoidance,LaneStates,OpticalFlow
NO_WARN,OVERTAKE,DRIVING,TRAFFIC_LEFT
NO_WARN,OVERTAKE,DRIVING,SAFE_TO_OVERTAKE
NO_WARN,OVERTAKE,DRIVING,TRAFFIC_RIGHT
NO_WARN,OVERTAKE,CHANGE,TRAFFIC_LEFT
NO_WARN,OVERTAKE,CHANGE,SAFE_TO_OVERTAKE
NO_WARN,OVERTAKE,CHANGE,TRAFFIC_RIGHT
NO_WARN,OVERTAKE,OVERTAKE,TRAFFIC_LEFT
NO_WARN,OVERTAKE,OVERTAKE,SAFE_TO_OVERTAKE
NO_WARN,OVERTAKE,OVERTAKE,TRAFFIC_RIGHT
NO_WARN,CONTINUE,DRIVING,TRAFFIC_LEFT
NO_WARN,CONTINUE,DRIVING,SAFE_TO_OVERTAKE
NO_WARN,CONTINUE,DRIVING,TRAFFIC_RIGHT
NO_WARN,CONTINUE,CHANGE,TRAFFIC_LEFT
NO_WARN,CONTINUE,CHANGE,SAFE_TO_OVERTAKE
NO_WARN,CONTINUE,CHANGE,TRAFFIC_RIGHT
NO_WARN,CONTINUE,OVERTAKE,TRAFFIC_LEFT
NO_WARN,CONTINUE,OVERTAKE,SAFE_TO_OVERTAKE
NO_WARN,CONTINUE,OVERTAKE,TRAFFIC_RIGHT
NO_WARN,SWITCH,DRIVING,TRAFFIC_LEFT
NO_WARN,SWITCH,DRIVING,SAFE_TO_OVERTAKE
NO_WARN,SWITCH,DRIVING,TRAFFIC_RIGHT
NO_WARN,SWITCH,CHANGE,TRAFFIC_LEFT
NO_WARN,SWITCH,CHANGE,SAFE_TO_OVERTAKE
NO_WARN,SWITCH,CHANGE,TRAFFIC_RIGHT
NO_WARN,SWITCH,OVERTAKE,TRAFFIC_LEFT
NO_WARN,SWITCH,OVERTAKE,SAFE_TO_OVERTAKE
NO_WARN,SWITCH,OVERTAKE,TRAFFIC_RIGHT
MID_WARN,OVERTAKE,DRIVING,TRAFFIC_LEFT
MID_WARN,OVERTAKE,DRIVING,SAFE_TO_OVERTAKE
MID_WARN,OVERTAKE,DRIVING,TRAFFIC_RIGHT
MID_WARN,OVERTAKE,CHANGE,TRAFFIC_LEFT
MID_WARN,OVERTAKE,CHANGE,SAFE_TO_OVERTAKE
MID_WARN,OVERTAKE,CHANGE,TRAFFIC_RIGHT
MID_WARN,OVERTAKE,OVERTAKE,TRAFFIC_LEFT
MID_WARN,OVERTAKE,OVERTAKE,SAFE_TO_OVERTAKE
MID_WARN,OVERTAKE,OVERTAKE,TRAFFIC_RIGHT
MID_WARN,CONTINUE,DRIVING,TRAFFIC_LEFT
MID_WARN,CONTINUE,DRIVING,SAFE_TO_OVERTAKE
MID_WARN,CONTINUE,DRIVING,TRAFFIC_RIGHT
MID_WARN,CONTINUE,CHANGE,TRAFFIC_LEFT
